,Accuracy,Precision,Recall,F1
0,99.82502187226596,0.9982758620689656,0.9981132075471698,0.9981879783999161
1,99.73753280839895,0.9972882164783573,0.9972915097537094,0.9972881981146752
2,100.0,1.0,1.0,1.0
3,99.9124343257443,0.9990942028985508,0.9990566037735849,0.9990736896997725
4,99.82486865148861,0.9981654191516898,0.9981654191516898,0.9981654191516898
Mean,99.85997153157956,0.9985647401195127,0.9985253480452307,0.9985430570732108
Std,0.08922471468226627,0.0009179021874669137,0.0009250509785720686,0.0009216958225043008
