,Accuracy,Precision,Recall,F1
0,99.91251093613297,0.9991349480968859,0.9990566037735849,0.9990941346446813
1,99.73753280839895,0.9972882164783573,0.9972915097537094,0.9972881981146752
2,100.0,1.0,1.0,1.0
3,99.9124343257443,0.9990942028985508,0.9990566037735849,0.9990736896997725
4,99.82486865148861,0.9981654191516898,0.9981654191516898,0.9981654191516898
Mean,99.87746934435296,0.9987365573250967,0.9987140272905138,0.9987242883221639
Std,0.08923372864123047,0.0009280951435581652,0.0009179292059358369,0.0009231465478106186
